address	bedrooms	bathrooms	rent	parking	website	photo
"4746 16th Ave NE, Seattle WA 98105"	16	5	"$15,950 "	3	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/266/thumb_IMG_3514.JPG?1415172315
4754 19th Ave NE Seattle WA 98105	15	4	"$14,885 "	3	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/88/thumb_xsad.JPG?1320728918
4758 19TH AVE NE Seattle WA 98105	13	4	"$13,350 "	5	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/1/thumb_IMG_0834_0014.jpg?1506921683
4748 19TH AVE NE Seattle WA 98105	11	3	"$11,200 "	3	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/4/thumb_IMG_0160_0086.jpg?1320726791
4731 19TH AVE NE Seattle WA 98105	9	3	"$9,250 "	3	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/66/thumb_IMG_0882.JPG?1320802723
4606/4608 NE 54TH STREET Seattle WA 98105	6	2	"$4,850 "	0	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/178/thumb_IMG_3686.JPG?1422843398
"5505 NE 73RD STREET, Seattle WA 98105"	5	2	"$3,995 "	5	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/195/thumb_IMG_0947.JPG?1413853057
1502 N 57TH Seattle WA 98105	5	2	"$3,995 "	2	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/159/thumb_IMG_0921.JPG?1413847891
"815 NE 65TH, Seattle WA 98105"	5	2	"$3,995 "	2	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/158/thumb_IMG_3918.JPG?1392111540
4746 16TH AVE NE Seattle WA 98105	4	1	"$3,350 "	1	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/234/thumb_Picture%20003.jpg?1413851690
4724 17TH AVE NE Seattle WA 98105	10	4	"$10,450 "	2	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/15/thumb_4724_17thBack.JPG?1506922994
4727 19TH AVE NE Seattle WA 98105	9	5	"$9,450 "	4	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/204/thumb_IMG_0883.JPG?1387411807
"4726 17TH AVE NE, Seattle WA 98105"	9	3	"$9,250 "	1	http://www.uwrentalhomes.com/	http://s3.amazonaws.com/uwrentalhomes/house_images/photos/13/thumb_ISx7cyvrcu1ldb0000000000_1_.jpg?1506922909
4715 19th Ave NE Seattle WA 98105	13	3	"$10,000 "	5	http://www.udistricthousing.com/4715.php	http://www.udistricthousing.com/images/4715.jpg
5745 25th Ave NE Seattle WA 98105	8	2	"$6,400 "	0	http://www.udistricthousing.com/5745.php	http://www.udistricthousing.com/images/5745.jpg
4751 19th Ave NE Seattle WA 98105	15	3	"$10,500 "	4	http://www.udistricthousing.com/4751.php	http://www.udistricthousing.com/images/4751.jpg
2111 NE 54th St Seattle WA 98105	13	5	"$10,300 "	4	http://www.udistricthousing.com/2111.php	http://www.udistricthousing.com/images/2111.jpg
5030 17th Ave NE Seattle WA 98105	11	3	"$10,000 "	4	http://www.udistricthousing.com/5030.php	http://www.udistricthousing.com/images/5030.jpg